id,header,date,location,categories,description,socialmediascore,negative,positive,anger,fear,anticipation,surprise,trust,sadness,joy,disgust,wordcount,negative_percent,positive_percent,anger_percent,fear_percent,anticipation_percent,surprise_percent,trust_percent,sadness_percent,joy_percent,disgust_percent
4368721,"Suspect in Amber Alert arrested, two other suspects sought","Wed, June  1, 2016","Detroit, United States","['Business, Business Services, Fire and Security', 'Society, Law, Law Enforcement']","DETROIT (WJBK) - Detroit Police have arrested the suspect wanted in an Amber Alert in Toledo. According to police, 45-year-old Gregory Walker was arrested in Toledo Thursday morning but the Amber Alert was still active.

Simultaneously, Detroit Police say they found the body of a male victim in a Detroit field near Harper and Baldwin just before 8:45 a.m. Thursday.

Walker and a female companion were both arrested in Toledo. During a press conference on Thursday, Detroit Police Chief James...","4,862",4,7,1,8,0,0,6,1,2,0,11,0.36363636363636365,0.6363636363636364,0.09090909090909091,0.7272727272727273,0.0,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.0
4371467,Suspect that shot two Fremont police officers identified,"Wed, June  1, 2016","Fremont, California, United States","['Business, Business Services, Fire and Security', 'Society, Law, Law Enforcement']","FREMONT (KRON) -- Officers from multiple agencies are at two separate shootings in Fremont which has prompted a city-wide lockdown.

Residents are being asked to stay indoors, and a shelter in place has been ordered. Fremont police are advising the public to stay ""out of barricaded areas"" and avoid surrounding streets.

The incident started at around 1:30 p.m. near the intersection of Fremont Boulevard and Irvington Avenue.

An officer tried to make a traffic stop and shots were fired.

An...","4,189",5,8,3,7,1,3,6,2,0,0,14,0.35714285714285715,0.5714285714285714,0.21428571428571427,0.5,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.0,0.0
4370202,"Economy Grows at 'Modest' Pace as Job Market Tightens, Fed Says","Wed, June  1, 2016","Kansas City, Missouri, United States","['News, Current Events', 'News, Current Events, Business and Economy', 'Society, Issues, Economic']","The U.S. economy expanded at a modest pace across most of the country since mid-April, causing the labor market to tighten as employers continued adding jobs and nudging wages higher, a Federal Reserve report showed.

""Employment grew modestly since the last report, but tight labor markets were widely noted,"" according to the Fed's latest Beige Book, an economic survey published eight times a year. ""Wages grew modestly, and price pressures grew slightly in most districts.""

Fed officials have...","3,920",1,8,1,0,3,2,7,0,2,0,14,0.07142857142857142,0.5714285714285714,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.5,0.0,0.14285714285714285,0.0
4368185,"Fiat Chrysler sales up 1%, Ford sales fall 5.9% in May ","Wed, June  1, 2016","New York City, United States","['Shopping, Classifieds', 'Shopping, Classifieds, Automotive', 'Business, Marketing and Advertising, Salesmanship']","In 2015, automakers set an all-time record when they sold 17.47 million new cars and trucks. This year, four forecasting firms say the auto industry remains on track to top last year's record.

Fiat Chrysler Automobiles' eked out a small sales increase in the U.S. in May as sales rose 1.1% while Ford's sales fell 5.9% as the U.S. automotive industry is increasingly showing signs of reaching a multi-year peak.

Ford sold a total of 67,412 F-Series pickups, a 9% increase, but that wasn't enough...","3,899",4,4,0,1,2,0,3,2,0,1,9,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111
4378703,Poll: Sanders edging Clinton out in California,"Wed, June  1, 2016","New York City, United States",[],"A strong majority of Democratic voters think Hillary Clinton should keep running for president even if she is charged with a felony in connection with her private email use while secretary of state, according to a new poll.

Clinton was strongly criticized in a State Department inspector general report last week about her email use.

The report found repeated warnings about cybersecurity were ignored and staffers who expressed concerns were told ""never to speak of the Secretary's personal email...","2,055",1,6,0,1,0,0,6,0,2,0,10,0.1,0.6,0.0,0.1,0.0,0.0,0.6,0.0,0.2,0.0
4369914,"Two dead in shooting at UCLA in possible murder-suicide, campus on lockdown","Wed, June  1, 2016","Los Angeles, United States","['Society, Law, Law Enforcement', 'Recreation, Guns, Competition Shooting']","Two men were killed in a shooting at UCLA on Wednesday morning, prompting a massive response from local and federal law enforcement, the LAPD confirmed.

The campus was placed on lockdown just after 10 a.m. as police searched for the gunman, according to the university.

People are being asked to shelter in place in an engineering building on campus, the university said.

The FBI and the U.S. Bureau of Alcohol, Tobacco, Firearms and Explosives were responding, the agencies said. The Los Angeles...","1,205",5,6,3,4,3,1,4,0,0,0,12,0.4166666666666667,0.5,0.25,0.3333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0
4362259,Taylor Swift & Calvin Harris Break Up,"Wed, June  1, 2016","Los Angeles, United States","['Society, Religion and Spirituality, Christianity', 'Arts, Music, Concerts and Events', 'Science, Astronomy, Stars']","The duo have split after 15 months of dating, Billboard has confirmed news first reported by People.

Taylor Swift & Calvin Harris: Their Instagram Love Story

The singer, 26, and the DJ and producer, 32, celebrated their first year together in March with a tropical vacation.

In April, Swift talked to Vogue about her relationship with Harris in a cover story interview, ""I'm just taking things as they come. I'm in a magical relationship right now. And of course I want it to be ours, and...",731,1,10,0,0,3,2,2,0,4,0,13,0.07692307692307693,0.7692307692307693,0.0,0.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.3076923076923077,0.0
4369667,Ken Starr Faceplants When Confronted With Email Showing He Was Told About Rape At Baylor,"Wed, June  1, 2016","Waco, Texas, United States","['Society, Issues, Violence and Abuse', 'Society, Support Groups, Sexual Abuse', 'Sports, Football, American']","The Ken Starr (yes, that Ken Starr) image rehabilitation tour has begun, with Starr joining the calls for transparency from Baylor's Board of Regents. He's urging the regents to release the full Pepper Hamilton report into how Baylor created a culture so blind that administrators believed rape ""doesn't happen here"" and so toxic that women who reported they were assaulted were put through hell. Starr's even gone so far as to say he resigned as chancellor so he could speak more freely about what...",300,3,8,2,2,3,0,3,2,0,2,14,0.21428571428571427,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285
4357167,"Obama, with eyes on history and the election, defends economic record","Wed, June  1, 2016","Elkhart, Indiana, United States","['Recreation, Travel, Travelogues', 'Business, Hospitality, Travel']","WASHINGTON -- With one eye on his historical legacy and another on this year's election, President Obama travels Wednesday to a sentimental spot in Indiana to trumpet his record on the economy.

Speaking in Elkhart, Ind. -- a city he visited during his first year in office in 2009, in the midst of the recession-triggering financial crisis -- Obama plans to stress the decline of the unemployment rate and steady increases in job growth during his two terms in office, officials said.

""It's the...",297,4,5,0,0,1,1,4,0,0,0,13,0.3076923076923077,0.38461538461538464,0.0,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0
4364442,News Anchor Tomi Lahren Responds to Being Sampled on Pusha T and Jay Z's ,"Wed, June  1, 2016","Brooklyn, United States","['Society, Issues, Health', 'Recreation, Drugs', 'Health, Pharmacy, Drugs and Medications']","Back in February, without warning, Beyonce released the first single off her Lemonade album, ""Formation,"" and promptly performed it at this year's Super Bowl. Dressed to resemble the Black Panthers, Queen Bey and her dance troupe killed their performance before joining Coldplay and Bruno Mars for a joint finish to the halftime festivities. Naturally, people reacted. Heck, reacting is the one thing you can count on in 2016 aside from death and taxes.

One of those reactions came from TheBlaze...",251,4,3,1,2,1,1,2,3,1,1,8,0.5,0.375,0.125,0.25,0.125,0.125,0.25,0.375,0.125,0.125
4371560,Suspect in 'Purge' Killings Allegedly Inspired by Horror Film,"Wed, June  1, 2016","Indianapolis, United States","['Society, Crime', 'Society, Issues, Crime and Justice', 'Society, Crime, Murder']","A 19-year-old Indianapolis man has been accused of killing three people over four days in what prosecutors are calling a string of slayings inspired by the horror film ""The Purge.""

Jonathan Cruz was charged Wednesday with 17 counts, including murder and armed robbery, according to court documents. Marion County prosecutor Terry Curry accused the man of going on a ""four-day purge"" through the Indiana capital between May 12 and 15.

His alleged victims ""appeared to be 100 percent random,"" Curry...",177,14,5,11,15,1,5,4,7,2,4,20,0.7,0.25,0.55,0.75,0.05,0.25,0.2,0.35,0.1,0.2
4362027,Shareholder sues Tribune Publishing board over spurned Gannett bid,"Wed, June  1, 2016","Los Angeles, United States","['Society, Issues, Business', 'Society, Issues, Warfare and Conflict', 'News, Media, Services']","I am not going to kid either you or myself. I didn't purchase The Salt Lake Tribune because I always wanted to own a newspaper or be a publisher. Owning a newspaper didn't cross my mind until a few years ago. Its purchase most assuredly was not undertaken on a whim.

Like many of you, I grew up faithfully reading The Tribune. Owning it was as incomprehensible to me as becoming a principal dancer at New York City Ballet. It was only when The Tribune, neglected by its latest owners, found itself...",169,3,4,1,0,2,1,6,1,2,1,12,0.25,0.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.5,0.08333333333333333,0.16666666666666666,0.08333333333333333
4369233,Paterson investigating how Fetty Wap used its high school to film drug anthem,"Wed, June  1, 2016","Paterson, New Jersey, United States","['Society, Religion and Spirituality, Christianity']","The principal of operations at Eastside High School has been placed on leave over the Fetty Wap music video filmed inside the Park Avenue high school, said state-appointed district superintendent Donnie Evans on Wednesday night.

Zatiti Moody, the principal, has been placed on paid leave, said Evans, while the district investigates. He said the district will hire an independent investigator to determine whether school policies were followed in granting Wap permission to shoot his new music...",159,4,6,2,2,1,2,9,5,3,0,16,0.25,0.375,0.125,0.125,0.0625,0.125,0.5625,0.3125,0.1875,0.0
4368139,AC/DC singer Brian Johnson thinks he will perform again after testing new hearing monitor | NME.COM,"Wed, June  1, 2016","Philadelphia, United States",[],"AC/DC frontman Brian Johnson cancels tour after being told he needs surgery AC/DC frontman Brian Johnson has said he is ""amazed"" after testing a new hearing device that could potentially allow him to reunite with the band.

Johnson was replaced with Guns 'n' Roses frontman Axl Rose for the band's current Rock or Bust world tour, after medics warned that he was at risk of completely losing his hearing if he chose to continue.

But the singer has now tested a new in-ear monitor, and says that it...",154,7,3,2,7,3,1,1,3,0,0,12,0.5833333333333334,0.25,0.16666666666666666,0.5833333333333334,0.25,0.08333333333333333,0.08333333333333333,0.25,0.0,0.0
4371178,Watch Dogs 2 Confirmed for E3 2016 Reveal,"Wed, June  1, 2016","Los Angeles, United States","['Games, Video Games, Browser Based', 'Shopping, Jewelry, Watches', 'Business, Consumer Goods and Services, Jewelry']","All the highlights in the world of games, lovingly delivered 2-3 times/week.

Ubisoft has officially confirmed Watch Dogs 2 will make its debut at E3 2016.

In an email detailing its plans for the event, the company said it will ""present highly anticipated titles such as Watch Dogs 2, For Honor, and Tom Clancy's Ghost Recon Wildlands."" It has also promised to ""unveil some surprises.""

Ubisoft's E3 showcase is scheduled for Monday, June 13, starting at 1 PM PST.

The confirmation follows a leak...",118,1,6,0,5,5,2,6,0,2,0,13,0.07692307692307693,0.46153846153846156,0.0,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.46153846153846156,0.0,0.15384615384615385,0.0
4371766,Curry finds 'face of the NBA' chatter 'annoying',"Wed, June  1, 2016","Cleveland, United States","['Arts, Literature, World Literature', 'Sports, Fantasy', 'Sports, Baseball, Youth']","OAKLAND, Calif. -- Golden State Warriors star Stephen Curry is the reigning two-time MVP and a reigning NBA champion, but he has no interest in whether he or Cleveland's LeBron James is considered the ""face of the NBA.""

""It's really annoying for me,"" Curry said Wednesday. ""That's not what I'm playing for, to be the face of the NBA or to be this or that or to take LeBron's throne or whatever. You know, I'm trying to chase rings, and that's all I'm about. So that's where the conversation stops...",107,2,4,2,1,2,0,3,0,2,0,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.0
4369661,"""The System Is Set Up to Protect Officers"": Activists React to Lack of Charges in Jamar Clark Case","Wed, June  1, 2016","Minneapolis, United States","['Business, Business Services, Fire and Security', 'Society, Law, Law Enforcement', 'Society, Issues, Crime and Justice']","co-founder and organizer of the Minneapolis chapter of Black Lives Matter.

Federal prosecutors in Minnesota announced Wednesday that no charges will be filed against the two police officers involved in the shooting death last fall of Jamar Clark, an unarmed 24-year-old African American. Clark was shot in the head after a scuffle with officers who responded to a report of an assault. However, multiple witnesses say Clark was shot while handcuffed. Clark's death sparked a series of protests in...",95,3,2,1,2,0,0,2,2,0,0,7,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0
